IMPORTER NAME,IMPORTER ADDRESS,COUNTRY,HS CODE,PRODUCT DESCRIPTION,PRODUCT,MAPPED COMMODITY,PRICE 
IMCRUZ COMERCIAL S.A.,AVENIDA CRISTOBAL DE MENDOZA #164,Japan,84099150000,RINGS STD SUZUKI,Rings Suzuki,Automotive Parts,Negotiable
AIDA AGUILAR DE ORAQUENI,AVENIDA BUENOS AIRES #546,China,84132000000,"YIWU SHENGHANG TRADE ATOMIZER CO., LTD",Atomizer,Cosmetics,Negotiable
GEDESA LTDA.,CALLE ANTEZANA #279,Brazil,30061010000,SURGICAL SUTURE: 1 BX WITH 12 UNITS: ETH *,Surgical Suture,Medical Supplies,Negotiable
JULIO MEZA ZALGUERO,AVENIDA QUINTO ANILLO #580,Japan,84073300000,TOYOTA ENGINE,Toyota Engine,Automotive Parts,Negotiable
CORPORACION FRAGANCE SRL,AVENIDA TTE. MAMERTO CUELLAR #1660,United States of America,20079991000,SMUCKERS JAM,Smuckers Jam,Food Products,Negotiable
DATEC LTDA,CALLE VELASCO #213,China,84439900900,89680 HID FARGO PRINTER BASE (HID FARGO,Printer Base,Printing Equipment,Negotiable
NIBOL LTDA.,AVENIDA URUGUAY ESQ. PEDRO ANTELO #,United States of America,84835000000,JOHN DEERE AH66202 TENSIONER,Tensioner,Automotive Parts,Negotiable
RUBEN GONZALO MIRANDA PAZ,AVENIDA 6 DE AGOSTO ENTRE HERRERA Y,China,39191000000,TAPE S / BRAND,Tape Brand,Adhesives,Negotiable
INDSERMAQ S.R.L.,AVENIDA QUINTO ANILLO #5430,China,40112010000,TIRES (RIMLESS RIMS) KAPSEN,Tires Kapsen,Tires,Negotiable
BRENDA KAREN BARRENECHEA FLORES,CALLE MANZANO C-9 LOTE 1 #1,China,65061000000,HELMET V / BRANDS,Helmet,Protective Gear,Negotiable
IMPORTADORA ROFREN S.R.L.,AVENIDA AVENIDA 4TO ANILLO #3080,Brazil,87083010000,FRAS-LE BRAKE PADS,Brake Pads,Automotive Parts,Negotiable
SUPER SUR FIDALGA SRL,CALLE RENE MORENO #212,China,64069010000,INSOLES FOR SHOES THE BAZAAR INC.,Insoles,Footwear,Negotiable
NATANIEL ALVAREZ/LIBRERIA SAN PABLO,CALLE BOLIVAR ESQUINA BENI #SN,Argentina,49011090000,GUADAL SA EDITORIAL BOOK 9789877055344,Editorial Book,Books,Negotiable
WOOLWORTHS (BOTSWANA) (PROPRIETARY) LIMITED,P O BOX 500017,SOUTH AFRICA,3063900,"Other, including flour, meals and pellets of crustaceans fit for human",Crustacean Meals,Food Products,Negotiable
S.R.J. ENTERPRISES (PROPRIETARY) LIMITED,PO BOX 281,SOUTH AFRICA,40169310,Identifiable as integral parts of industrial machinery,Industrial Machinery Parts,Industrial Parts,Negotiable
VISITION ROYAL INVESTMENT (PROPRIETARY0 LIMITED,P O BOX 550296,CHINA,84688000,Other machinery and apparatus,Machinery,Machinery,Negotiable
BUILDERS TRADE DEPOT(BOTSWANA)(PTY)LTD,P O BOX 70021,SOUTH AFRICA,44189900,"Other builders' joinery and carpentry of wood, including cellular wood",Wood Joinery,Wood Products,Negotiable
BOTGOOD INVESTMENTS (PRPPRIETARY) LIMITED,P.O. Box 50131,SOUTH AFRICA,68129100,"Clothing, clothing accessories, footwear and headgear",Clothing Accessories,Apparel,Negotiable
PRIMEFAST (PROPRIETARY) LIMITED,PRIVATE BAG,SOUTH AFRICA,12130000,"Cereal straw and husks, unprepared, whether or not chopped, ground,",Cereal Straw,Agricultural Products,Negotiable
CORDNEX ENTERPRISE (PROPRIETARY) LIMITED,P O BOX 19,SOUTH AFRICA,23099092,Other Preparations of a kind used in animal feeding,Animal Feed,Animal Feed,Negotiable
PRIVYTEC (PROPRIETARY) LIMITED,P O BOX AD 75 ACJ,HONG KONG,85291020,"Other aerials for reception apparatus for television, whether or not capable",TV Aerials,Electronics,Negotiable
LOGICAL DEMAND (PROPRIETARY) LIMITED,P O BOX 1612,CHINA,39269090,Other articles of plastics and articles of other materials of headings .39.01,Plastic Articles,Plastic Products,Negotiable
HEART OF AFRICA GIFTS (PROPRIETARY) LIMITED,P.O. Box 1344,SOUTH AFRICA,96085000,Sets of articles from two or more of the foregoing subheadings,Mixed Sets,Mixed Products,Negotiable
WIREY INVESTMENTS (PROPRIETARY LIMITED,P O BOX 550296,CHINA,87083003,"Disc brake pads, mounted",Brake Pads,Automotive Parts,Negotiable
95/24 COLOMBIA S.A.S.,AUT MEDELLIN KM 5 (!) PUNTO 750 (!,China,7326909000,DO 2022794 ORDER PROCESS: ORDER183 DECLARATION (43-95) GOODS LOCATED IN MAC LOGISTICA,Order Process,Logistics,Negotiable
95/24 COLOMBIA S.A.S.,AUT MEDELLIN KM 5 (!) PUNTO 750 (!,China,8204110000,DO 2022794 ORDER PROCESS: ORDER183 DECLARATION (18-95) GOODS LOCATED IN MAC LOGISTICA,Order Declaration,Documentation,Negotiable
95/24 COLOMBIA S.A.S.,AUT MEDELLIN KM 5 (!) PUNTO 750 (!,China,9603500000,DO 2022794 ORDER PROCEDURE: ORDER183 DECLARATION (7-95) GOODS LOCATED IN MAC LOGISTICA,Order Procedure,Procedure,Negotiable
123 LLANTAS PARA CAMION SAS,CR 10 B 54 55,China,4011201000,DO 9335/20 DECLARATION 1 OF 1 ... THE IMPORTER COMPLIES WITH THE ESTABLISHED IN RESOLUTION 4,Order Declaration,Documentation,Negotiable
306 MEDIA GROUP S.A.S,CL 64 11 37 OF 306 A,China,3926200000,/ DIM 1/1 Order No. BOG-0311-20 / DO DO2020-4296 / WE WELCOME TO DECREE 0925 MAY,Order Declaration,Documentation,Negotiable
3M COLOMBIA S.A.,AV DORADO 75 93,United States of America,3306900000,"DO 2010770 ORDER PROCESS: 36034 DECLARATION (2-8) (ITEM 2) PRODUCT CODE TWO: 70201088260,",Order Processing,Processing,Negotiable
95/24 COLOMBIA S.A.S.,AUT MEDELLIN KM 5 (!) PUNTO 750 (!,China,8205599900,DO 2024691 ORDER PROCESS: ORDER186 DECLARATION (30-75) GOODS LOCATED IN MAC LOGISTICA,Order Declaration,Documentation,Negotiable
714 SOLUTION COMERCIAL S.A.S,CL 33 74 B 74,China,9018499000,"DO OP-1200335-0067, Order, Format 1 of 2;Â Invoice (s) ... BX20200103 03/01/2020; DO MB = 502",Order Invoice,Invoice,Negotiable
3M COLOMBIA S.A.,AV DORADO 75 93,United States of America,3506910000,DO 2010982 REQUEST FOR PROCEDURE: 36051 DECLARATION (1-1) DOES NOT REQUIRE IMPORT REGISTRATION AS FOLLOWS,Request Procedure,Procedure,Negotiable
3M COLOMBIA S.A.,AV DORADO 75 93,Taiwan,9004901000,DO 2011031 REQUEST FOR PROCESSING: 36056 DECLARATION (5-31) DOES NOT REQUIRE IMPORT REGISTRATION SEC,Request Processing,Processing,Negotiable
3M COLOMBIA S.A.,AV DORADO 75 93,Brazil,3926906000,DO 2010526 REQUEST PROCESSING: 36015 DECLARATION (1-1) DOES NOT REQUIRE IMPORT REGISTRATION FOLLOW,Request Processing,Processing,Negotiable
MAPETO NGUAMBANDU JOLI,AV. MBUANGI N?11 C/MONT-NGAFULA -- KINSHASA,Democratic Republic of the Congo,84079000,Parts of the engines of vehicles,Engine Parts,Automotive Parts,Negotiable
MASENGO NZOLAMESO DIDIER,MND AV. MUNGUDI N?20 Q/MONGALA C/N'DJIL CIS / NDJILI,Democratic Republic of the Congo,91069000,Other clocks,Clocks,Timepieces,Negotiable
NOMA TUNGULULA GUELORD,AV. NZOMBO N?37 Q. KIMBANGU II C/KA CIS / BANDALUNGWA ETS. NOMA MBOKILA,Democratic Republic of the Congo,84481900,Other printing machinery,Printing Machinery,Machinery,Negotiable
MASINI MOLENDE PERCY,AV. BOMBOMA N?36 C/KASA-VUBU KASA- RAS UBU FUNA KINSHASA ETS. MASINI ET FILS,Democratic Republic of the Congo,85044000,Static converters,Static Converters,Electrical Equipment,Negotiable
MBONGWANA MAYEMBA PASCAL,AV. SPORT N?07 C/KASA VUBU a prec RAS ser KINSHASA KINSHASA,Democratic Republic of the Congo,96082000,Ballpoint pens,Ballpoint Pens,Writing Instruments,Negotiable
MADIMBA TSHIMBAMBA AKIM,BANGALA N? A1BIS Q/SALONGO KINTAMB O KINSHASA,Democratic Republic of the Congo,84099100,Parts of spark-ignition reciprocating or rotary internal combustion engines,Engine Parts,Automotive Parts,Negotiable
NTUMBA LUFULUABO JUDA,AVENUE BUTA N? 255 Q/DU 30 JUIN C/LINGUALA,Democratic Republic of the Congo,87032193,"Motor vehicles for the transport of persons, with a cylinder capacity of 1500 cc to 3000 cc",Motor Vehicles,Vehicles,Negotiable
REWA CONGO SPRL,AV. LUVUA No 94 Q.MADIMBA C/KINS HASA DGE REWA CONGO,Democratic Republic of the Congo,84145100,Air conditioning machines,Air Conditioners,Cooling Equipment,Negotiable
MATONDO LUNIANGA ANGELIQUE,AV. LISALA N*21 C/ KASA-VUBU KINSHASA RDCONGO,Democratic Republic of the Congo,62099000,Other garments of textile fabrics,Textile Garments,Apparel,Negotiable
EGWAKE NGONGA BOB,"148, AV. TULUNDI Q/ ADOULA C/ BANDALUNGWA KINSHASA",Democratic Republic of the Congo,87089900,Other parts and accessories for motor vehicles,Vehicle Parts,Automotive Parts,Negotiable
PALMCO,AVENUE GOODYEAR N?3116 KINSHASA / LIMETE,Democratic Republic of the Congo,48041900,"Uncoated paper and paperboard, other than that for writing, printing or other graphic purposes",Uncoated Paper,Paper Products,Negotiable
TRACTAFRIC EQUIPMENT RDC,AV. BLVD DU 30 JUIN No 2798 C/ GOMBE DGE,Democratic Republic of the Congo,84833000,"Parts of taps, cocks, valves, etc.",Valves,Plumbing Parts,Negotiable
KISALA KABEYA CLEMENT,AV TEMBO N?17 C/KIMBANSEKE CIS / KIMBANSEKE,Democratic Republic of the Congo,84669200,Parts and accessories for machine tools,Machine Tool Parts,Industrial Parts,Negotiable
KAZADI TUBADI AUGUSTINE,AV. 9IEME RUE N?13 Q/INDUSTRIEL C/ LIMETE ETS E.N. TRADING CIS LIMETE,Democratic Republic of the Congo,90189000,Other instruments and appliances for measuring or checking,Measuring Instruments,Measuring Instruments,Negotiable
KIELENKELE BIBI CATHERINE,AV. TABLE RONDE N?05 MASINA C/MASINA,Democratic Republic of the Congo,62046900,Other women's or girls' garments,Women's Garments,Apparel,Negotiable
MANDELINA OSEI - KWABENA,P O BOX 3193 ADUM KUMASIGHANAKumasi,China,8301300000,Locks for furniture of base metal,Furniture Locks  ,Hardware  ,Negotiable
GUINNESS GHANA BREWERIES LIMITED,ABC JUNCTION ACHIMOTA MILE 7 ROADAC,Germany,7307210000,S/Steel flanges,Steel Flanges  ,Metal Components  ,Negotiable
FLOUR MILLS OF GHANA LIMITED,GAFCO INDUSTRIAL COMPLEX NEAR EASTE,Switzerland,8414809000,Other : not Industrial air compressors,Air Compressors  ,Air Equipment  ,Negotiable
TWIN ROCK LIMITED,null null SHAIL HILLSDANGBE EAST. G,United Kingdom,8431490000,"Parts of machinery of 84.26, 84.29 and 84.30, nes.",Machinery Parts  ,Industrial Machinery  ,Negotiable
A. A. HORIZON LIMITED,PLOT.86  SPINTEX RDOFF ACCRATEMA MO,United States of America,8421990000,Parts of machinery... for filtering/purifying liquids or gases,Filter Parts  ,Industrial Machinery  ,Negotiable
K3 ALUPRODUCTS LIMITED,PLOT NO. IND4253A3 COMMUNITY 1PLOT,Italy,3919900000,"Other self-adhesive plates, tape, strip, foil... of plastics, nes",Adhesive Tape  ,Plastic Products  ,Negotiable
MR PRICE CHAIN STORES INTERNATIONAL LIMITED,SHOP 42  ACCRA MALL  SPINTEX ROADAC,South Africa,6103430000,"Mens or boys trousers, etc, of synthetic fibres, knitted or crocheted",Men's Trousers  ,Textile Apparel  ,Negotiable
MANTRAC GHANA LIMITED,BLOCK B5938 RING ROAD WEST NORTH IN,United Arab Emirates,8302300000,"Mountings, fittings, etc, for motor vehicles, of base metal, nes",Vehicle Fittings  ,Automotive Parts  ,Negotiable
GEODRILL GHANA LIMITED,"H/NO.20B,  AVIATION ROAD,  AIRPORTR",Belgium,8412290000,Hydraulic power engines and motors (excl. linear acting),Hydraulic Motors  ,Hydraulic Equipment  ,Negotiable
GABRIE LUBES COMPANY LTD,Ghana  GREATER ACCRA  Ashaiman muni,United Arab Emirates,2710193300,Grease,Grease  ,Lubricants  ,Negotiable
OCEAN WOOD GHANA COMPANY LIMITED,UNNUMBERED PLOT OPPOSITE DANSO MARK,China,8462910000,Hydraulic presses for working metals or metal carbides,Hydraulic Presses  ,Metal Machinery  ,Negotiable
SAMUEL YAW DUKU,MAGAZINE NEW ROAD KUMASI GHANAAccra,Germany,8528729000,"Reception apparatus for television :  Other, colour : Other",TV Receivers  ,Electronics  ,Negotiable
JAMAL HASSAN COMPANY LIMITED,KOJO THOMPSON RD. P.O. BOX 3448 ACC,China,8536500000,"Switches, nes, =<1000 v",Electrical Switches  ,Electrical Components  ,Negotiable
INTERWORLD PRODUCTS GHANA LIMITED,NO. 9  JUBILEE WELLS STREET  LABONE,India,8414510000,"Table, floor, wall... fans, with self-contained electric motor <=125w",Electric Fans  ,Home Appliances  ,Negotiable
HPE INDUSTRY LIMITED,PLOT 8 DADEBAN  PLOT 8 DADEBAN  DAD,Germany,8412310000,"Pneumatic power engines and motors, linear-acting (cylinders)",Pneumatic Cylinders  ,Pneumatic Equipment  ,Negotiable
FAISAL LAHADI,"PO BOX 228, KOFORIDUA, KOFORIDUA",United States of America,6309000000,Worn clothing and other worn articles,Worn Clothing  ,Used Textiles  ,Negotiable
IMPORTER NAME,IMPORTER ADDRESS,CHINA,83024190,Locks for Furniture  ,Furniture Locks  ,Furniture,Negotiable
PT. FAJARLESTARI SEJATI,"JL. DAAN MOGOT RAYA KM 18 KAV 7 NO.1, KOMPLEK PERGUDANGAN SEMANAN MEGA",TAIWAN,39269059,"Plastic Articles, nes  ",Plastic Items  ,Plastic Products  ,Negotiable
PT. TOA GALVA INDUSTRIES,"JL. HAYAM WURUK NO.27 KEBON KELAPA, GAMBIR, JAKPUS 10120",CHINA,96071900,Slide Fasteners  ,Zippers  ,Garment Accessories  ,Negotiable
PT. FCC INDO JAYA,"JALAN TERUSAN BANDENGAN UTARA B-35,RT001/RW003",CHINA,85167910,Electric Heating Appliances  ,Electric Heaters  ,Home Appliances  ,Negotiable
CV CONTINENTAL DISTRIBUSI,"PRIMA CENTRE 2 D NO. 11, KEL. KEDAUNG KALI ANGKE, KEC.",CHINA,42022100,Handbags with Outer Surface of Leather  ,Leather Handbags  ,Fashion Accessories  ,Negotiable
"BUCCHERI INDONESIA, PT","JL. WIJAYA NO.56-57, PEJAGALAN, PENJARINGAN UTARA, JAKARTA UTARA",CHINA,84539000,Parts of Machinery for Textile Machines  ,Textile Machine Parts  ,Textile Machinery  ,Negotiable
PT PEGATRON TECHNOLOGY INDONESIA,"JL. BERINGIN, LOT 5, BATAMNINDO INDUSTRIAL PARK, MUKAKUNING, SUNGAI BEDUK",CHINA,56039200,"Nonwovens, Weighing <25 g/m²  ",Nonwoven Fabric  ,Textile Materials  ,Negotiable
PT. PZ CUSSONS INDONESIA,"JL. HALIM PERDANA KUSUMA NO.144, KEBON BESAR, BATU CEPER, TANGERANG",CHINA,85118090,Parts of Ignition or Starting Equipment  ,Ignition Parts  ,Auto Parts  ,Negotiable
PT. MAUNA PRIMER SAKTI,"JL. GADING KIRANA UTARA BLOK H.10 KAV.25, KEL.KELAPA GADING BARAT",CHINA,64039190,Footwear with Outer Sole of Rubber and Uppers of Leather  ,Leather Footwear  ,Footwear  ,Negotiable
PT. NIKE INDONESIA,"INDONESIA STOCK EXCHANGE BUILDING TOWER II, 24TH FLOOR, JLN. JEND. SUD",CHINA,70131000,Glassware of a Kind Used for Table or Kitchen Purposes  ,Glassware  ,Household Items  ,Negotiable
PT. ROCKET SALES MAKMUR,"JL.AGUNG JAYA 5 BLOK D6 NO.31-A, SUNTER AGUNG, TANJUNG PRIOK, JAKARTA",CHINA,19023020,"Pasta, Cooked or Stuffed  ",Cooked Pasta  ,Food Products  ,Negotiable
PT.ROCKET SALES MAKMUR,"JL.AGUNG JAYA 5 BLOK D6 NO.31-A,SUNTER AGUNG,TANJUNG PRIOK JAKARTA UTA",CHINA,73083090,Structures and Parts of Structures of Iron or Steel  ,Steel Structures  ,Construction Materials  ,Negotiable
PT. MARKSINDO SUKSES JAYA,"JL. ALAM SUTERA BOULEVARD NO.7 PAKULONAN, SERPONG UTARA KOTA TANGERANG",United States of America,4901990000,Printed Books  ,Books  ,Books  ,Negotiable
JAMES MACHARIA NGANGA,53197 00200 NAIROBI,India,1211909000,Other Plants and Plant Parts  ,Plant Parts  ,Plant Parts  ,Negotiable
PARENRAMJISHAHV TA BHAGWNAJI DEVSHI SHAH,90393 MOMBASA,India,5908000000,Textile Fabrics Coated with Gum or Amylaceous Substances  ,Coated Fabrics  ,Coated Fabrics  ,Negotiable
MANSUKHLAL RAISHI MARU,327 40100 KISUMU,India,8452290000,Sewing Machines (Automatic Units)  ,Sewing Machines  ,Sewing Machines  ,Negotiable
SHANTILAL KARAMSHI LAKHA SHAH,81308 MOMBASA,China,8428100000,Lifts and Skip Hoists  ,Lifts  ,Lifts  ,Negotiable
PETER KAGOTHO RIMUI,1313 NAIROBI,United States of America,6309002000,Worn Clothing and Other Worn Articles (Cotton)  ,Used Clothing  ,Used Clothing  ,Negotiable
LUCY NYAMBURA KUNYERA,69296 NAIROBI,United Kingdom,8712000000,Bicycles and Other Non-Motorized Cycles  ,Bicycles  ,Bicycles  ,Negotiable
JOSEPH RIBIA NGUGI,39251 NAIROBI,China,8512200000,Lighting or Visual Signaling Equipment  ,Signal Lights  ,Signal Lights  ,Negotiable
DAVID NJOROGE MUNGAI,11356 NAIROBI,Egypt,2520100000,Gypsum  ,Gypsum  ,Gypsum  ,Negotiable
